2,3577E+13;ADEILDO VIEIRA LIMA-ME.;FARMACIA VITAL BRAZIL;R. Tenente Eliezer. Costa, 147;;Conjunto Polar;60347345;FORTALEZA;85 34851823;;"adeildovital@ig.com.br;";;Adeildo Vieira Lima;0 à 150000;Nao;Nao;8;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- medicamentos em geral
4,9496E+12;AMAZÔNIA FITOMEDICAMENTOS LTDA;;R. Dom Silvério, 517, A;;Messejana;60841060;FORTALEZA;85 40058803;;;;Everardo Ferreira Telles;0 à 150000;Nao;Nao;4;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- medicamento contendo outras enzimas em doses
2,61532E+12;ARISTIDES SILVA DE OLIVEIRA - ME;ARISTIDES SILVA;R. Padre José Bezerra Filho, 259;;Triângulo;63900000;QUIXADA;88 34120611;;;;Maria de Fátima Moraes Torres;0 à 150000;Nao;Nao;2;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- produtos farmacêuticos
6,34638E+13;ARTPELE FARMACIA COM MANIPULAÇÃO LTDA - ME;ARTPELE FARMÁCIA;R. Pereira Filgueiras, 1211;;Meireles;60160045;FORTALEZA;85 32535252;;"artpele@globo.com;";;Maria Anete;0 à 150000;Nao;Nao;9;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- Manipulaçao de medicamentos
3,77303E+12;CIGEL INDUSTRIAL LTDA;ALYNE;R. Araré, 1777;;Parque Potira;61650110;CAUCAIA;85 35218888;;"cigel@cigel.com.br;";;Paulo Cesar Vieira Gurgel;0 à 150000;Sim;Nao;260;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- shampoos, acetonas e água oxigenada
10874321000179;F. C. FIRMIANO PEREIRA - ME;FC CONTROLE DE PRAGA;R. Arare, 1714;;Parque Potira II;61650110;CAUCAIA;85 32371909;;"fccontroledepragas@hotmail.com;";;Francisco Carlos Firmiano Pereira;0 à 150000;Nao;Nao;4;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- produtos de praga
6,62833E+12;FARMACE - INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;FARMACE;Rodovia Dr. Antonio Lirio Callou, S/N, Km 02;;Sitio Barreiras;63180000;BARBALHA;88 35321825;;"caceame@farmace.com.br;";;Andrey Salviano Sampaio;0 à 150000;Nao;Nao;8;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- medicamentos alopáticos para uso humano - medicamentos para uso veterinário
4,93242E+13;FRESENIUS KABI BRASIL LTDA;FRESENIUS;Rodovia CE 040 S/N Km. 10;;Jacundá;61700000;AQUIRAZ;85 34216700;;"fresenius.br@fresenius-kabi.com.br;";;Miquel Montosa;0 à 150000;Sim;Nao;800;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- medicamento e soros em geral - Outros antibioticos
1,03535E+13;GERUSA RIBEIRO DE SOUSA SILVA - ME;FORMIDIA GRAFICA E EDITORA;Av. Sargento Herminio Sampaio, 1520;;Monte Castelo;60326500;FORTALEZA;85 32535156;;"formidiagrafica@gmail.com;";;Gerusa Ribeiro de Sousa Silva;0 à 150000;Nao;Nao;11;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- adesivos, embalagens em geral - embalagens de papel , papelão
07954091000305;INTERVET DO BRASIL VETERINÁRIA LTDA;MSD - SAÚDE ANIMAL;R. Prof. Vicente Silveira, 234;;Montese;60410670;FORTALEZA;85 33666600;85 33666604;"mario.holanda@merck.com;";;Carlos Mario Holanda Lima;0 à 150000;Sim;Nao;120;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;- medicamentos para animais
