1,24581E+13;A BRAGA DE OLIVEIRA - ME;BRANEL;R. M, 50 Lote 01 Quadra 04 Esplanda do Castel?;;Castel?;60863620;FORTALEZA;85 32954555;;;;Antonio Braga de Oliveira;0 ?150000;Nao;Nao;14;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- 0,0-dietil-fosforotioato de s-(2-(dietilamino)etila,etc - 1,1,1-tricloroetano (metilcloroformio) - bulldozers e angledozers ,de lagartas,de pot.>=520hp
04883969000109;A? - BRAS IND?TRIA E COM?CIO LTDA;A?BRAS;R. Deocleciano Cavalcante, 99;;Vila Uni?;60422490;FORTALEZA;85 38781301;;"acobras@acobras.ind.br;";www.acobras.ind.br;Eduardo Patrick Machado Lopes;0 ?150000;Sim;Nao;49;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- ferragens galvanizadas para telefonia e eletricidade - quadros, pain?s e aparelhos interruptores de circuito el?rico
04157641000105;AGOSTINHO BATISTA DE LIMA - ME;;R. 01, 213;Conjunto S?io C?rego;Mondubim;60752020;FORTALEZA;85 32968868;;;;Agostinho Batista de Lima;0 ?150000;Nao;Nao;2;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- m?uinas e equipamentos para agricultura
4,25722E+12;?GUIA IND?TRIA E COM?CIO DE MATRIZES LTDA - EPP;?GUIA MATRIZES;Av. Le? Sampaio, 3371;;S?io Mata;63180000;BARBALHA;88 35322656;;;;Ailton dos Santos Liberal;0 ?150000;Nao;Nao;12;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- fabrica?o de m?uinas e equipamentos
7,20085E+12;ALUM?IO CEAR? LTDA;IRONTE;Av. Francisco S? 2584;;Carlito Pamplona;60310000;FORTALEZA;85 32810442;;"aluceara@hotmail.com;";;Jo? Rog?io Clemente;0 ?150000;Nao;Nao;12;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- ca?rolas - caldeir? - panela de press?
1,02763E+13;AMERICA INOX IND?TRIA E COM?CIO DE ARTEFATOS DE A? E INOX LTDA;AMERICA INOX;R. Tambau, 210;;Barra do Cear?60334128;FORTALEZA;85 32843925;;"americainox@hotmail.com;";;Jo? Bosco Gomes Viana;0 ?150000;Nao;Nao;41;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- c?aras frigorificas - fog?es industriais
3,58571E+12;ANTONIO FERREIRA LIMA PINTURAS - ME;ARTE PINCEL;Av. Presesidente Castelo Branco, 3015, A;;Jacarecanga;60312060;FORTALEZA;85 32811154;;"artepincel@gmail.com;";;Antonio Ferreira Lima;0 ?150000;Nao;Nao;3;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- outras m?uinas e aparelhos de impress? por offsete
7,66177E+12;ANTONIO LINARD M?QUINAS E CONSTRU?ES T?NICAS S.A;ANTONIO LINARD M?QUINAS;R. Padre C?ero, 810;;Antonio Linard;63200000;MISSAO VELHA;88 35421055;;"maragton@linard.com.br;";;Maragton Linard;0 ?150000;Nao;Sim;33;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- outras m?uinas e aparelhos para debulha
6,94128E+12;ARMTEC TECNOLOGIA EM ROB?ICA LTDA;ARMTEC TECNOLOGIA EM ROB?ICA;R. Pinto Madeira, 535;Sala 22;Centro;60150000;FORTALEZA;85 34773321;;"armtec@armetcbrasil.com;";;Antonio Roberto Lins Mac?o;0 ?150000;Nao;Nao;20;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- desenvolvimento de solu?es tecnol?icas - m?uinas e aparelhos para fabrica?o e acabamento de feltros
7,32086E+13;ASA BRANCA IND?TRIA DE M?QUINAS E IMPLEMENTOS AGRICOLAS LTDA;ASA BRANCA;Av. Dr. Carlos Roberto Costa S/N;;Areias 2;63508120;IGUATU;88 35811801;;"asabrancaindustria@hotmail.com;";www.asabrancaindustria.com.br;Joao Elmo Moreno Cavalcante;0 ?150000;Nao;Nao;50;FABRICA?O DE M?QUINAS E EQUIPAMENTOS;- Batedeira de feij? - Carreta agr?ola - Carreta tanque para transporte de agua
